Designator,Mid X,Mid Y,Layer,Rotation
R37,133.5750mm,-190.0750mm,Top,0.000000
R38,248.9450mm,-185.2750mm,Top,0.000000
R39,252.7950mm,-185.2750mm,Top,0.000000
R40,256.6450mm,-185.2750mm,Top,0.000000
R41,224.5250mm,-188.1250mm,Top,0.000000
R42,243.6050mm,-194.3750mm,Top,0.000000
R43,227.5250mm,-197.2250mm,Top,0.000000
R44,157.5000mm,-192.8000mm,Top,90.000000
R45,161.5000mm,-192.8000mm,Top,90.000000
R46,165.5000mm,-192.8000mm,Top,90.000000
U1,184.3000mm,-112.0000mm,Top,180.000000
U2,188.0000mm,-147.0000mm,Top,0.000000
U3,140.5000mm,-109.0000mm,Top,0.000000
U4,140.5000mm,-122.5000mm,Top,0.000000
U5,180.0000mm,-160.0000mm,Top,0.000000
U6,188.0000mm,-171.0000mm,Top,0.000000
U7,243.0000mm,-170.0000mm,Top,90.000000
U8,230.7450mm,-190.1450mm,Top,0.000000
X1,237.5850mm,-189.1450mm,Top,0.000000
